idhs,tinhtrang,mahs,idhs,mahs,vitri,,diachi,phuongxa,quanhuyen,tinhtp,ngaylap, dato_dientich , dato_dongia ,toadomaps
16422,9,M0218a,16422,M0218a,+ V? tr°: 1 (M?t ti?n ???ng ???ng n?i b? khu dÉn c? TÉn Quy ?ìng (???ng >=16m)),,459G/1 kp2,Ph??ng TÉn Phong, Qu?n 7,H? Ch° Minh,2022-02-24 10:45:36.290, 91.63 ," 125,565,621.00 ","10.738806,106.708409"
16608,9,M0343,16608,M0343,"+ V? tr°: 1, M?t ti?n ???ng n?i b? kcn ??ng an 1",,"Th?a 34, t? 130, KCN ??ng An",Ph??ng Bçnh Hïa,ThÖnh ph? Thu?n An,Bçnh D??ng,2022-02-24 11:35:29.450, -   ," 8,175,007.00 ","10.899768, 106.726978"
16921,9,M0582,16921,M0582,+ V? tr°: 1 (M?t ti?n ???ng Nguy?n B?nh Khiàm),,101 Nguy?n B?nh Khiàm,Ph??ng ?a Kao, Qu?n 1,H? Ch° Minh,2022-02-24 14:20:24.967, 77.28 ," 455,098,680.00 ","10.791621496499658,106.70024335384369"
16448,9,M0245,16448,M0245,+ V? tr°: 1,,"Th?a 25, t? C2-30, Khu T?C TÉn Ph£",Ph??ng TÉn Ph£,Th? x? ??ng XoÖi,Bçnh Ph??c,2022-02-28 09:55:42.457, 240.00 ," 21,281,185.00 ","11.5311123,106.8756428"
16981,9,M0622b,16981,M0622b,+ V? tr°: 1 ???ng TÉy Th?nh,,"Lì IV-21 ???ng TÉy Th?nh, nh¢m CN IV, KCN TÉn Bçnh",Ph??ng TÉy Th?nh,Qu?n TÉn Ph£,H? Ch° Minh,2022-02-28 15:02:38.470, -   , -   ,"10.816735, 106.625604"
14025,9,L2560c,14025,L2560c,"+ V? tr°: 1, m?t ti?n ???ng ??ng V?n Tr?n",,"T?S 292, 293, 294, 295, 296, 297, 310, TB? 53",X? Hi?p Hïa,ThÖnh ph? Biàn Hïa,??ng Nai,2022-03-01 18:32:53.157," 2,074.50 "," 13,499,474.00 ","10.924888, 106.836073"
16860,7,M0540a,16860,M0540a,"+ V? tr°: 1, MT ???ng n?i b? KDC",,lì B-58 kdc Dragon Village,Ph??ng Ph£ H?u, Qu?n 9,H? Ch° Minh,2022-03-02 12:40:23.503, 90.00 ," 53,370,936.00 ","10.786197, 106.811422"
17023,9,M0666i,17023,M0666i,+ V? tr°: 1,,"Th?a 305, t? 66",X? Ph??c Bçnh,Huy?n Long ThÖnh,??ng Nai,2022-03-03 15:52:39.740," 2,022.00 "," 4,516,722.00 ","10.657984, 107.049837"
17022,9,M0666k,17022,M0666k,+ V? tr°: 1,,"Th?a 290, t? 73",X? Ph??c Bçnh,Huy?n Long ThÖnh,??ng Nai,2022-03-03 15:54:43.980," 15,035.30 "," 1,820,821.00 ","10.653576830704363, 107.07917157438294"
16936,9,M0596,16936,M0596,"+ V? tr°: 1, M?t ti?n ???ng n?i b? KDC Dragon Village",,lì E-14 kdc Dragon Village,Ph??ng Ph£ H?u, Qu?n 9,H? Ch° Minh,2022-03-07 15:00:50.053, 160.00 ," 43,834,517.00 ","10.788640, 106.810388"
16640,9,M0384,16640,M0384,+ V? tr°: 1,,"Th?a 93, t? 40, kp ?ìng Nhç",Ph??ng L†i Thiàu,ThÖnh ph? Thu?n An,Bçnh D??ng,2022-03-07 17:38:57.090, 157.70 ," 38,335,085.00 ","10.903133, 106.704968"
17260,9,M0829,17260,M0829,+ V? tr°: 1,,"Th?a 86, t? 78",Ph??ng An Ph£, Qu?n 2,H? Ch° Minh,2022-03-09 15:10:52.837, 341.60 ," 134,802,033.00 ","10.785070022369604, 106.75124072288469"
17012,9,M0656,17012,M0656,+ V? tr°: 1 (M?t ti?n ???ng HoÖng XuÉn Nh?),,38 HoÖng XuÉn Nh?,Ph??ng Ph£ Trung,Qu?n TÉn Ph£,H? Ch° Minh,2022-03-09 16:30:09.413, 66.72 ," 103,799,002.00 ","10.777130, 106.644847"
16902,9,M0562b,16902,M0562b,+ V? tr°: 1,,"Th?a 809, t? 80",Ph??ng Ph??c Long B, Qu?n 9,H? Ch° Minh,2022-03-10 11:47:13.930, 247.50 ," 176,592,678.00 ","10.802341, 106.778829"
17201,9,M0783a,17201,M0783a,+ V? tr°: 1,,"Th?a 3235, t? 7, kp Chiàu Liàu",Ph??ng TÉn ?ìng Hi?p,ThÖnh Ph? D? An,Bçnh D??ng,2022-03-10 16:54:29.937, 80.00 ," 59,466,250.00 ","10.9231238,106.7523349"
16642,9,M0385,16642,M0385,+ V? tr°: 1 (M?t ti?n ???ng ???ng 48-BTT),,"Th?a 559-93, t? 12",Ph??ng Bçnh Tr?ng TÉy, Qu?n 2,H? Ch° Minh,2022-03-11 12:44:54.820, 164.00 ," 118,907,402.00 ","10.78252569164051, 106.75275449550236"
16909,9,M0571b,16909,M0571b,+ V? tr°: 1,,"Th?a 200, t? 262, KDC Vi?t Sing",Ph??ng An Ph£,ThÖnh ph? Thu?n An,Bçnh D??ng,2022-03-11 15:25:20.070, 90.00 ," 33,762,261.00 ","10.946229686160699, 106.73112833817493"
11525,9,L2282b,11525,L2282b,+ V? tr°: 1,,"Th?a 541 vÖ 542, t? 53 vÖ 8/34E ?p 4",X? TÉn Qu? TÉy,Huy?n Bçnh Ch†nh,H? Ch° Minh,2022-03-14 16:30:49.447, 300.00 ," 8,018,860.00 ","10.65470123, 106.58958013"
17168,9,M0760,17168,M0760,"+ V? tr°: 1, M?t ti?n ???ng n?i b? KDC Dragon Village",,B-69 kdc Dragon Village,Ph??ng Ph£ H?u, Qu?n 9,H? Ch° Minh,2022-03-15 09:32:11.220, 105.00 ," 55,103,068.00 ","10.786269, 106.811071"
17311,9,M0869,17311,M0869,+ V? tr°: 1,,A-16 KDC Dragon Village,Ph??ng Ph£ H?u, Qu?n 9,H? Ch° Minh,2022-03-16 15:05:41.357, 125.91 ," 44,630,569.00 ","10.78432657496412, 106.81114056087037"
17401,9,M0947,17401,M0947,+ V? tr°: 1 (M?t ti?n ???ng An H?),,"Th?a 322, t? 31",X? Ph?m V?n Hai,Huy?n Bçnh Ch†nh,H? Ch° Minh,2022-03-18 18:42:20.440, 300.00 ," 17,231,053.00 ","10.836573, 106.525575"
17461,9,M0982,17461,M0982,+ V? tr°: 1,,"Th?a 841, 258, t? 1",X? TÉn Nh?t,Huy?n Bçnh Ch†nh,H? Ch° Minh,2022-03-22 16:06:41.563," 5,188.90 "," 2,742,968.00 ","10.732603, 106.542474"
17354,9,M0892,17354,M0892,"+ V? tr°: 1, m?t ti?n ???ng Bçnh Tr? ?ìng",,427 ???ng ??t M?i,Ph??ng Bçnh Tr? ?ìng A,Qu?n Bçnh TÉn,H? Ch° Minh,2022-03-22 18:15:49.623, 92.20 ," 92,507,305.00 ","10.774169, 106.609021"
17514,9,M1028,17514,M1028,+ V? tr°: 1 (MT ???ng 5),,127 ???ng D5,Ph??ng 25,Qu?n Bçnh Th?nh,H? Ch° Minh,2022-03-24 13:54:58.763, 143.80 ," 213,893,338.00 ","10.8058674, 106.7167451"
17303,9,M0859,17303,M0859,+ V? tr°: 1,,"Th?a 1039 vÖ 1040, t? 20",Ph??ng  Th?nh M? L?i, Qu?n 2,H? Ch° Minh,2022-03-24 14:43:52.763, 90.00 ," 150,088,183.00 ","10.770049325019796, 106.75592782441532"
17473,9,M0992,17473,M0992,+ V? tr°: 1,,"Th?a 88, t? 69",Ph??ng An Ph£, Qu?n 2,H? Ch° Minh,2022-03-24 19:12:23.067, 158.20 ," 148,412,931.00 ","10.7927342112394, 106.74117323943868"
16466,9,M0260a,16466,M0260a,+ V? tr°: 1,,"Th?a 31, t? 4, kp5",Ph??ng Long Ph??c,Th? x? Ph??c Long,Bçnh Ph??c,2022-03-25 09:15:10.103, 160.00 ," 35,212,140.00 ","11.8201938,106.9603201"
17622,9,M1094,17622,M1094,"+ V? tr°: 1, M?t ti?n ???ng n?i b? KDC Dragon Village",,D-50 kdc Dragon Village,Ph??ng Ph£ H?u, Qu?n 9,H? Ch° Minh,2022-03-28 12:15:51.750, 145.00 ," 43,048,564.00 ","10.788096, 106.810982"
15475,9,M0175c,15475,M0175c,+ V? tr°: 1 (M?t ti?n ???ng HoÖng V?n Th?),,415A HoÖng V?n Th?,Ph??ng 2,Qu?n TÉn Bçnh,H? Ch° Minh,2022-03-29 16:35:42.070, 251.97 ," 248,798,876.00 ","10.7990902, 106.6599179"
17547,9,M1054,17547,M1054,+ V? tr°: 1 (M?t ti?n ???ng ???ng s? 17),,"72A ???ng s? 17, kp3",Ph??ng Hi?p Bçnh Ch†nh,Qu?n Th? ??c,H? Ch° Minh,2022-03-30 11:13:23.687, 72.10 ," 98,853,081.00 ","10.8249855612029, 106.71725612867525"
17645,9,M1118,17645,M1118,+ V? tr°: 1,,"38B ???ng s? 8, kp3",Ph??ng Tr??ng Th?,Qu?n Th? ??c,H? Ch° Minh,2022-03-30 12:15:23.670, 89.90 ," 100,280,992.00 ","10.844826, 106.757706"
17001,9,M0659,17001,M0659,+ V? tr°: 1,,"Th?a 851, t? 31",Ph??ng T?ng Nh?n Ph£ B, Qu?n 9,H? Ch° Minh,2022-03-30 13:26:19.607, 100.90 ," 75,062,853.00 ","10.839056, 106.775057"
17180,9,M0770,17180,M0770,+ V? tr°: 1 (M?t ti?n ???ng ???ng n?i b? <14m Khu dÉn c? Cìng ty Nam Long (ph??ng Ph£ Thu?n)),,"E34 d? †n cty TÉn Thu?n Nam, kp2",Ph??ng Ph£ Thu?n, Qu?n 7,H? Ch° Minh,2022-03-30 15:41:43.830, 80.00 ," 88,750,000.00 ","10.730803,106.734534"
15430,9,M0135,15430,M0135,+ V? tr°: 1,,"Th?a 509, t? 96",Ph??ng Long Bçnh, Qu?n 9,H? Ch° Minh,2022-03-30 17:06:23.723, 100.00 ," 100,639,475.00 ","10.848425522057294, 106.83882278331112"
17718,9,M1178,17718,M1178,"+ V? tr°: 1 (M?t ti?n ???ng ???ng 2, Khu nhÖ ? V?n Ph£c 1 - KP5)",,"52 ???ng 2, KNO V?n Ph£c 1",Ph??ng Hi?p Bçnh Ph??c,Qu?n Th? ??c,H? Ch° Minh,2022-03-31 18:52:28.823, 115.00 ," 127,551,152.00 ","10.842431430785666,106.71436786651611"
17627,9,M1068b,17627,M1068b,"+ V? tr°: 1, m?t ti?n ???ng L?y B†n B°ch",,20 L?y B†n B°ch,Ph??ng TÉn Th?i Hïa,Qu?n TÉn Ph£,H? Ch° Minh,2022-04-04 10:41:00.050, 95.93 ," 147,924,737.00 ","10.761261, 106.632626"
17572,9,M1068a,17572,M1068a,"+ V? tr°: 1, m?t ti?n ???ng ??c L?p",,"Th?a 22, t? 17, kp2",Th? tr?n Ph??c V?nh,Huy?n Ph£ Gi†o,Bçnh D??ng,2022-04-04 10:46:41.763, 189.00 ," 81,917,089.00 ","11.289093, 106.792573"
17078,9,M0707,17078,M0707,+ V? tr°: 1 (M?t ti?n ???ng HoÖng Sa),,212/170/66 Nguy?n V?n Nguy?n,Ph??ng TÉn ??nh, Qu?n 1,H? Ch° Minh,2022-04-04 11:58:46.387, 56.40 ," 289,081,247.00 ","10.7950241, 106.6854203"
17445,9,M0968,17445,M0968,+ V? tr°: 1 (M?t ti?n ???ng ???ng 57 (ph??ng Th?o ?i?n)),,"Th?a 527, t? 28",Ph??ng Th?o ?i?n, Qu?n 2,H? Ch° Minh,2022-04-04 18:22:23.270, 418.00 ," 168,864,110.00 ","10.806304922890831, 106.72835877184782"
17619,9,M1097,17619,M1097,+ V? tr°: 1 (M?t ti?n ???ng Phan V?n HÉn (?o?n t? ?i?n Biàn Ph? ??n Xì Vi?t Ngh? T?nh)),,72 Phan V?n HÉn,Ph??ng 17,Qu?n Bçnh Th?nh,H? Ch° Minh,2022-04-05 17:07:33.280, 85.80 ," 218,701,981.00 ","10.793190253561981, 106.70702462761083"
16421,9,M0218b,16421,M0218b,+ V? tr°: 1 (M?t ti?n ???ng Nguy?n V?n Th?),,155A Nguy?n V?n Th?,Ph??ng ?a Kao, Qu?n 1,H? Ch° Minh,2022-04-08 15:45:38.513, 99.30 ," 219,075,164.00 ","10.789020964116247,106.69818609952927"
17879,9,M1315,17879,M1315,+ V? tr°: 1,,"Th?a 1603, t? 58",X? Long An,Huy?n Long ThÖnh,??ng Nai,2022-04-08 17:26:33.507, 92.50 ," 24,354,845.00 ","10.746240182631773, 106.96854593096485"
17745,9,M1201,17745,M1201,"+ V? tr°: 1 (M?t ti?n ???ng Nguy?n Thanh S?n, ph??ng Th?nh M? L?i (D? †n 174ha))",,"Th?a 78, t? 9",Ph??ng  Th?nh M? L?i, Qu?n 2,H? Ch° Minh,2022-04-12 12:49:51.107, 100.00 ," 240,062,833.00 ","10.775989, 106.756787"
17666,9,M1161,17666,M1161,"+ V? tr°: 1, m?t ti?n ???ng Nguy?n Hu?",,"Th?a 03, t? c?m k? hi?u B, khu T?C",Ph??ng TÉn ??ng,Th? x? ??ng XoÖi,Bçnh Ph??c,2022-04-12 14:56:01.483, 250.00 ," 28,394,820.00 ","11.544094, 106.908836"
17725,9,M1188,17725,M1188,+ V? tr°: 1 ???ng Nguy?n Thi?n Thu?t,,1H Nguy?n Thi?n Thu?t,Ph??ng L?c Th?,ThÖnh ph? Nha Trang,Kh†nh Hïa,2022-04-13 10:50:37.367, 25.50 ," 293,447,420.00 ","12.241894, 109.193358"
17684,9,M1149,17684,M1149,+ V? tr°: 1,,"Th?a 971, t? 22",Ph??ng  Th?nh M? L?i, Qu?n 2,H? Ch° Minh,2022-04-14 15:40:51.400, 205.00 ," 95,796,915.00 ","10.771558, 106.769854"
18038,9,M1424a,18038,M1424a,+ V? tr°: 1 (M?t ti?n ???ng ?? XuÉn H?p (?o?n t? Ng? 4 Bçnh Th†i - C?u N?m L?)),,276 ?? XuÉn H?p,Ph??ng Ph??c Long A, Qu?n 9,H? Ch° Minh,2022-04-14 18:04:44.733, 101.50 ," 171,154,077.00 ","10.823198, 106.769837"
17502,9,M1011a,17502,M1011a,"+ V? tr°: 1, m?t ti?n ???ng s? 1",,71 ???ng s? 1,Ph??ng Bçnh Tr? ?ìng B,Qu?n Bçnh TÉn,H? Ch° Minh,2022-04-15 11:03:16.730, 103.86 ," 184,383,325.00 ","10.748505, 106.618524"
17501,9,M1011b,17501,M1011b,"+ V? tr°: 1, m?t ti?n ???ng Tr?n Thanh M?i",,"91/1 Tr?n Thanh M?i, kp3",Ph??ng TÉn T?o A,Qu?n Bçnh TÉn,H? Ch° Minh,2022-04-15 11:32:49.150, 192.50 ," 36,911,029.00 ","10.753375, 106.588672"
17740,9,M1011c,17740,M1011c,"+ V? tr°: 1, m?t ti?n ???ng s? 3",,233 ???ng s? 3,Ph??ng Bçnh Tr? ?ìng B,Qu?n Bçnh TÉn,H? Ch° Minh,2022-04-15 11:35:48.960, 174.00 ," 120,221,509.00 ","10.748913, 106.613524"
17251,9,M0837,17251,M0837,+ V? tr°: 1,,"41 Nguy?n Qu? C?nh, kp5",Ph??ng An Ph£, Qu?n 2,H? Ch° Minh,2022-04-15 18:18:56.583, 170.00 ," 218,535,117.00 ","10.797085905060323, 106.73726441726588"
17421,9,M0955,17421,M0955,"+ V? tr°: 1, m?t ti?n ???ng Là L?",,26 Là L?,Ph??ng Ph£ Th? Hïa,Qu?n TÉn Ph£,H? Ch° Minh,2022-04-15 20:29:10.077, 176.50 ," 99,282,391.00 ","10.784932, 106.623442"
18169,9,M1515,18169,M1515,"+ V? tr°: 1, m?t ti?n ???ng ??ng V?n Tr?n",,"T?S 292, 293, 294, 295, 296, 297, 310, TB? 53",X? Hi?p Hïa,ThÖnh ph? Biàn Hïa,??ng Nai,2022-04-18 11:23:06.240, -   ," 13,773,693.00 ","10.924888, 106.836073"
17948,9,M1367,17948,M1367,+ V? tr°: 1,,"7 lì (Th?a 229, 110, 118, 228, 224, 225, 111)",Ph??ng Kim Dinh,Th? x? BÖ R?a,BÖ R?a V?ng TÖu,2022-04-21 10:38:53.860, 100.00 ," 6,181,747.00 ","10.511732797841658, 107.13517093733243"
18129,9,M1380b,18129,M1380b,"+ V? tr°: 1, m?t ti?n ???ng Là Trung Ngh?a",,114 Là Trung Ngh?a,Ph??ng 12,Qu?n TÉn Bçnh,H? Ch° Minh,2022-04-21 18:06:41.260, 61.50 ," 200,874,024.00 ","10.800971, 106.647523"
17931,9,M1357a,17931,M1357a,"+ V? tr°: 1 (M?t ti?n ???ng ???ng 12, Khu nhÖ ? V?n Ph£c 1 - KP5)",,"51 ???ng 12, KNO V?n Ph£c 1",Ph??ng Hi?p Bçnh Ph??c,Qu?n Th? ??c,H? Ch° Minh,2022-04-22 18:22:47.457, 102.30 ," 136,347,624.00 ","10.84240419662745, 106.71008292382858"
17635,9,M1121,17635,M1121,"+ V? tr°: 1, MT ???ng n?i b? KDC",,B-74 kdc Dragon Village,Ph??ng Ph£ H?u, Qu?n 9,H? Ch° Minh,2022-04-25 11:20:20.240, 160.00 ," 46,475,491.00 ","10.786514, 106.811437"
18366,9,M1674,18366,M1674,+ V? tr°: 1 (M?t ti?n ???ng ???ng s? 6),,"Th?a 159-1123, t? 4",Ph??ng Hi?p Bçnh Ch†nh,Qu?n Th? ??c,H? Ch° Minh,2022-04-26 15:32:02.740, 123.00 ," 82,320,133.00 ","10.8304728, 106.7278484"
18170,9,M1529,18170,M1529,+ V? tr°: 1 (M?t ti?n ???ng Nguy?n L? Tr?ch),,61 Nguy?n L? Tr?ch,Ph??ng TÉn Qu?,Qu?n TÉn Ph£,H? Ch° Minh,2022-04-27 11:34:10.590, 67.71 ," 82,899,282.00 ","10.7931661, 106.6194146"
18386,9,M1694,18386,M1694,"+ V? tr°: 1, m?t ti?n n?i b? KCN ??t Cu?c",,"Th?a 318 (lì A8), t? 38",X? ??t Cu?c,Huy?n B?c TÉn Uyàn,Bçnh D??ng,2022-04-28 18:41:17.680, -   ," 2,945,907.00 ","11.108090, 106.828795"
17957,7,M1374,17957,M1374,"+ V? tr°: 1 (M?t ti?n ???ng T?ng H?u ??nh, ph??ng Th?o ?i?n)",,3A T?ng H?u ??nh,Ph??ng Th?o ?i?n, Qu?n 2,H? Ch° Minh,2022-04-29 17:54:39.347, 676.80 ," 212,059,427.00 ","10.80574438043152, 106.73213991958197"
17475,9,M0282b,17475,M0282b,"+ V? tr°: 1, m?t ti?n ???ng ?T756B",,"Th?a 183, t? 20, ?p 1",X? ??ng N?,Huy?n H?n Qu?n,Bçnh Ph??c,2022-05-04 16:05:20.023, 100.00 ," 18,881,756.00 ","11.566526, 106.584247"
16506,9,M0288a,16506,M0288a,"+ V? tr°: 1, m?t ti?n ???ng ?T760 n?i dÖi",,"Th?a 90, t? 3, thìn Bçnh HÖ 2",X? ?a Kia,Huy?n Bó Gia M?p,Bçnh Ph??c,2022-05-04 17:50:46.897, -   ," 285,463.00 ","11.909685, 106.932553"
17927,9,M1360,17927,M1360,+ V? tr°: 1 (M?t ti?n ???ng L? Ph?c Man),,"Th?a 506, t? 20",Ph??ng Bçnh Thu?n, Qu?n 7,H? Ch° Minh,2022-05-05 12:04:21.990, 116.80 ," 111,058,429.00 ","10.742903077264359, 106.72426890322741"
18266,9,M1606,18266,M1606,+ V? tr°: 1 (M?t ti?n ???ng ???ng n?i b? trong KDC b? r?ng m?t ???ng nh? h?n 9m),,"Th?a 2893, t? 77",X? Long Nguyàn,Huy?n BÖu BÖng,Bçnh D??ng,2022-05-05 14:52:16.833, 90.00 ," 12,856,119.00 ","11.187247, 106.558130"
18267,9,M1607a,18267,M1607a,+ V? tr°: 1 (M?t ti?n ???ng ???ng n?i b? trong KDC b? r?ng m?t ???ng l?n h?n 9m),,"Th?a 2096, t? 77",X? Long Nguyàn,Huy?n BÖu BÖng,Bçnh D??ng,2022-05-05 15:02:17.073, 83.70 ," 13,281,260.00 ","11.186699, 106.555070"
17563,9,M1065a,17563,M1065a,"+ V? tr°: 1, m?t ti?n ???ng 234",,"Th?a 5275, t? 5",X? An Vi?n,Huy?n Tr?ng Bom,??ng Nai,2022-05-05 15:20:17.143, 110.80 ," 19,155,946.00 ","10.873997199039634, 106.98190635755303"
17563,9,M1065a,17563,M1065a,"+ V? tr°: 1, m?t ti?n ???ng 234",,"Th?a 5275, t? 5",X? An Vi?n,Huy?n Tr?ng Bom,??ng Nai,2022-05-05 15:20:17.143, 110.80 ," 19,155,946.00 ","10.873997199039634, 106.98190635755303"
17562,9,M1065b,17562,M1065b,"+ V? tr°: 1, m?t ti?n ???ng An Vi?n - H?ng Th?nh",,"Th?a 1934, t? 4",X? An Vi?n,Huy?n Tr?ng Bom,??ng Nai,2022-05-05 16:02:17.180, 113.40 ," 25,557,876.00 ","10.885172168084214, 106.98689304849256"
17560,9,M1065d,17560,M1065d,"+ V? tr°: 1, m?t ti?n ???ng nh?a ",,"Th?a 1550, t? 29",X? Bçnh Minh,Huy?n Tr?ng Bom,??ng Nai,2022-05-05 16:31:14.090, 158.10 ," 13,149,339.00 ","10.936006101861222, 106.96398461953783"
17847,9,M1279a,17847,M1279a,+ V? tr°: 1 (M?t ti?n ???ng C†c ???ng trong KDC TÉn Bçnh),,"Th?a 967, t? 2",X? Phong Ph£,Huy?n Bçnh Ch†nh,H? Ch° Minh,2022-05-11 16:49:02.440, 105.60 ," 52,981,454.00 ","10.712580770163447, 106.64470500182462"
18254,9,M1599,18254,M1599,+ V? tr°: 1 (M?t ti?n ???ng TÉn Canh),,3A TÉn Canh,Ph??ng 1,Qu?n TÉn Bçnh,H? Ch° Minh,2022-05-11 17:26:25.680, 54.99 ," 197,267,670.00 ","10.797939616188188,106.6676276922226"
18523,9,M1799,18523,M1799,"+ V? tr°: 1, m?t ti?n ???ng Nh?t Chi Mai ",,68A Nh?t Chi Mai,Ph??ng 13,Qu?n TÉn Bçnh,H? Ch° Minh,2022-05-11 17:51:10.520, 71.48 ," 156,631,400.00 ","10.80543867108185, 106.63954835116589"
15210,9,L3569b,15210,L3569b,"+ V? tr°: 1, m?t ti?n ???ng L?c Long QuÉn",,"Th?a 76, t? 61, kp3",Th? tr?n Ch?n ThÖnh,Huy?n Ch?n ThÖnh,Bçnh Ph??c,2022-05-12 17:43:23.173, 63.00 ," 120,000.00 ","11.4296519,106.6171163"
17732,9,M1195a,17732,M1195a,"+ V? tr°: 1 (M?t ti?n ???ng ???ng 12, Khu nhÖ ? V?n Ph£c 1 - KP5)",,"13 ???ng 13, KNO V?n Ph£c 1",Ph??ng Hi?p Bçnh Ph??c,Qu?n Th? ??c,H? Ch° Minh,2022-05-12 17:50:46.860, 102.50 ," 129,210,896.00 ","10.840888, 106.710430"
18504,9,M1790,18504,M1790,+ V? tr°: 1 (M?t ti?n ???ng KDC 434),,"Th?a 167, t? 272, KDC 434",Ph??ng Bçnh Hïa,ThÖnh ph? Thu?n An,Bçnh D??ng,2022-05-12 21:32:59.203, 150.70 ," 41,822,239.00 ","10.9213, 106.7354"
18483,9,M1773,18483,M1773,+ V? tr°: 1,,D-54 KDC Dragon Village,Ph??ng Ph£ H?u, Qu?n 9,H? Ch° Minh,2022-05-13 10:06:25.337, 181.87 ," 46,714,613.00 ","10.787783204023947, 106.81083402530044"
15209,9,L3569a,15209,L3569a,"+ V? tr°: 1, m?t ti?n ???ng 2 th†ng 4 (Qu?c L? 13)",,"Th?a 167, t? 65, kp3",Th? tr?n Ch?n ThÖnh,Huy?n Ch?n ThÖnh,Bçnh Ph??c,2022-05-13 10:52:37.057, 150.00 ," 41,082,823.00 ","11.4264856,106.6156693"
19702,9,M1945a,19702,M1945a,+ V? tr°: 1 (M?t ti?n ???ng KDC LAN ANH 5),,"Th?a 116, t? 49",X? Hïa Long,Th? x? BÖ R?a,BÖ R?a V?ng TÖu,2022-05-16 18:39:12.170, 102.50 ," 11,000,000.00 ","10.5513, 107.2009"
19703,9,M1945b,19703,M1945b,+ V? tr°: 1 (M?t ti?n ???ng KDC lan anh 5),,"Th?a 117, t? 49",X? Hïa Long,Th? x? BÖ R?a,BÖ R?a V?ng TÖu,2022-05-16 18:59:52.823, 94.50 ," 12,117,647.00 ","10.551300, 107.200900"
18288,9,M1615,18288,M1615,+ V? tr°: 1,,"Th?a 2, t? 919-2019, kp3",Ph??ng Long Ph??c,Th? x? Ph??c Long,Bçnh Ph??c,2022-05-17 14:55:08.133, 50.00 ," 25,669,925.00 ","11.803551, 106.940473"
19693,9,M1938,19693,M1938,+ V? tr°: 1 (M?t ti?n ???ng Tr?n H?ng ??o),,"62 Tr?n H?ng ??o, kp1",Ph??ng Hi?p Ph£, Qu?n 9,H? Ch° Minh,2022-05-19 09:31:45.180, 166.70 ," 111,490,516.00 ","10.843829664494983, 106.7736719934223"
19682,9,M1931,19682,M1931,+ V? tr°: 1,,"25 ???ng s? 34, kp5",Ph??ng An Ph£, Qu?n 2,H? Ch° Minh,2022-05-19 11:52:04.363, 160.00 ," 148,412,931.00 ","10.792419517228392, 106.74021913482613"
16922,9,M0583,16922,M0583,"+ V? tr°: 1, m?t ti?n ???ng ?T741",,"Th?a 399, t? 52, ?p Ch?",X? TÉn Ti?n,Huy?n ??ng Ph£,Bçnh Ph??c,2022-05-19 11:55:18.107, 96.60 ," 38,135,342.00 ","11.428343, 106.858504"
16792,9,M0498a,16792,M0498a,+ V? tr°: 1,,"Th?a 34, t? 98, thìn BÖu ??a",X? Ph??c TÉn,Huy?n Ph£ Ri?ng,Bçnh Ph??c,2022-05-19 14:30:29.663, 100.00 ," 7,109,320.00 ","11.704977, 107.054011"
18412,9,M1714,18412,M1714,+ V? tr°: 1,,"Th?a 791, t? 21",X? Long Nguyàn,Huy?n BÖu BÖng,Bçnh D??ng,2022-05-19 17:06:17.003, 300.00 ," 2,721,171.00 ","11.2360, 106.5307"
19792,9,M2013,19792,M2013,+ V? tr°: 1,,"Th?a 155, t? 43",Ph??ng Tr??ng Th?nh, Qu?n 9,H? Ch° Minh,2022-05-20 11:14:50.677, 105.00 ," 67,346,939.00 ","10.808565705012848, 106.82636518641328"
19806,9,M2024b,19806,M2024b,+ V? tr°: 1 (M?t ti?n ???ng s? 10),,"Th?a 605, t? 52, ?p 9",X? Minh H?ng,Huy?n Ch?n ThÖnh,Bçnh Ph??c,2022-05-23 11:17:43.173, 122.50 ," 9,790,596.00 ",NULL
19805,9,M2024a,19805,M2024a,+ V? tr°: 1 (M?t ti?n ???ng s? 10),,"Th?a 604, t? 52, ?p 9",X? Minh H?ng,Huy?n Ch?n ThÖnh,Bçnh Ph??c,2022-05-23 11:18:22.083, 122.50 ," 9,790,596.00 ","11.499498, 106.617792"
19803,9,M2022,19803,M2022,+ V? tr°: 1,,"41 ???ng s? 57, kp3",Ph??ng Bçnh Tr?ng ?ìng, Qu?n 2,H? Ch° Minh,2022-05-23 16:22:56.417, 108.00 ," 88,326,576.00 ","10.791040571890493, 106.77882740985292"
19832,9,M2044a,19832,M2044a,+ V? tr°: 1 m?t ti?n Qu†ch ?i?u (th?a 694) vÖ v? tr° 2 h?m ???ng Qu†ch ?iàu (th?a 695 ??n 705),,"Th?a 694, t? 20",X? V?nh L?c A,Huy?n Bçnh Ch†nh,H? Ch° Minh,2022-05-23 17:10:16.810, 108.50 ," 77,368,926.00 ","10.831943, 106.570660"
18339,9,M1652,18339,M1652,"+ V? tr°: 1 (M?t ti?n ???ng ???ng s? 12, ph??ng Bçnh An)",,"26 ???ng s? 12, kp3",Ph??ng Bçnh An, Qu?n 2,H? Ch° Minh,2022-05-25 10:14:10.687, 448.10 ," 128,589,052.00 ","10.790682400218282, 106.73252319195238"
