idhs,tinhtrang,mahs,idhs,mahs,vitri,,diachi,phuongxa,quanhuyen,tinhtp,ngaylap, dato_dientich , dato_dongia ,toadomaps
14033,9,L2669b,14033,L2669b,"+ V? tr°: 1 (M?t ti?n ???ng ???ng s? 19, ph??ng Bçnh Tr? ?ìng B)",,10 ???ng s? 19,Ph??ng Bçnh Tr? ?ìng B,Qu?n Bçnh TÉn,H? Ch° Minh,2021-11-09 16:24:43.070, 90.00 ," 119,071,097.00 ","10.753201, 106.618614"
14230,9,L2818c,14230,L2818c,+ V? tr°: 1 (M?t ti?n ???ng HoÖng Sa),,433 HoÖng Sa,Ph??ng 8, Qu?n 3,H? Ch° Minh,2021-11-10 17:42:00.113, 46.00 ," 293,171,481.00 ","10.791847, 106.685104"
14266,9,L2850b,14266,L2850b,+ V? tr°: 1 (M?t ti?n ???ng V? Ng?c Phan),,"Th?a 402, t? 82",Ph??ng 13,Qu?n Bçnh Th?nh,H? Ch° Minh,2021-11-11 17:41:31.233, 101.90 ," 141,139,096.00 ","10.820702673196017, 106.70707763507414"
14070,9,L2698a,14070,L2698a,"+ V? tr°: 1, m?t ti?n Tr??ng Ph??c Phan",,64 Tr??ng Ph??c Phan,Ph??ng Bçnh Tr? ?ìng,Qu?n Bçnh TÉn,H? Ch° Minh,2021-11-13 13:28:07.643, 65.70 ," 104,970,475.00 ","10.765447, 106.613020"
14228,9,L2818a,14228,L2818a,+ V? tr°: 1 (M?t ti?n ???ng Phóng V?n Cung),,10 Phóng V?n Cung,Ph??ng 7,Qu?n Ph£ Nhu?n,H? Ch° Minh,2021-11-16 11:00:11.910, 37.70 ," 229,255,163.00 ","10.799702, 106.686302"
14369,9,L2922,14369,L2922,"+ V? tr°: 1, m?t ti?n ???ng V??n LÖi",,169 V??n LÖi,Ph??ng Ph£ Th? Hïa,Qu?n TÉn Ph£,H? Ch° Minh,2021-11-16 16:12:16.340, 70.00 ," 156,509,920.00 ","10.787993852709118, 106.63088024352128"
14219,9,L2812a,14219,L2812a,+ V? tr°: 1,,"Th?a 4, t? 58; Th?a 829, t? 56",X? L? Nh?n,Huy?n C?n Gi?,H? Ch° Minh,2021-11-16 16:29:03.310, -   ," 1,670,232.00 ","10.486157, 106.766058"
14220,9,L2812b,14220,L2812b,+ V? tr°: 1,,"Th?a 813, t? 58",X? L? Nh?n,Huy?n C?n Gi?,H? Ch° Minh,2021-11-16 16:32:04.503, -   ," 2,920,928.00 ","10.485924, 106.765939"
13819,9,L2503a,13819,L2503a,+ V? tr°: 1 (M?t ti?n ???ng Nguy?n Th??ng Hi?n (?o?n t? Là Quang ??nh ??n HoÖng Hoa Th†m)),,8 Nguy?n Th??ng Hi?n,Ph??ng 1,Qu?n Gï V?p,H? Ch° Minh,2021-11-17 16:42:58.080, 276.50 ," 109,295,520.00 ","10.8163, 106.6883"
13819,9,L2503a,13819,L2503a,+ V? tr°: 1 (M?t ti?n ???ng Nguy?n Th??ng Hi?n (?o?n t? Là Quang ??nh ??n HoÖng Hoa Th†m)),,8 Nguy?n Th??ng Hi?n,Ph??ng 1,Qu?n Gï V?p,H? Ch° Minh,2021-11-17 16:42:58.080, 276.50 ," 109,295,520.00 ","10.8163, 106.6883"
